Name,Free,Paid,Total,Paid(Rs.)
ARUSHI MAGAROS Nepal Music Award 2076,3,0,3,0
SHANKAR B.COS Nepal Music Award 2076,1,0,1,0
KAMAL SARGAMOS Nepal Music Award 2076,7,0,7,0
PURUSHOTTAM SUBEDIOS Nepal Music Award 2076,19,145,164,725
REENA THAPA MAGAROS Nepal Music Award 2076,2,0,2,0
TULSI SIWAKOTIOS Nepal Music Award 2076,2,0,2,0
RUPA GHARTI MAGAROS Nepal Music Award 2076,4,530,534,2650
SHRISTI KHADKAOS Nepal Music Award 2076,8,0,8,0
RESHMA BOMJANOS Nepal Music Award 2076,5,0,5,0
PURNIMA LAMAOS Nepal Music Award 2076,2,0,2,0
NIJA PAUDELOS Nepal Music Award 2076,4,3015,3019,15075
SHISHRI BHANDARIOS Nepal Music Award 2076,1,0,1,0
SHISHIR BHANDARIOS Nepal Music Award 2076,11,5,16,25
NABIN KHADKAOS Nepal Music Award 2076,4,250,254,1250
BIMAL ADHIKARIOS Nepal Music Award 2076,1,0,1,0
ANJU NIRAULAOS Nepal Music Award 2076,4,0,4,0
SINCHURY SURESH GHAMALOS Nepal Music Award 2076,1,0,1,0
RAMU KHADKAOS Nepal Music Award 2076,2,0,2,0
SARITA KARKIOS Nepal Music Award 2076,2,0,2,0
PRAKASH DHAMALAOS Nepal Music Award 2076,11,500,511,2500
PRADIP K.GLANOS Nepal Music Award 2076,4,860,864,4300
SMRITI TIMILSINAOS Nepal Music Award 2076,6,1000,1006,5000
YOGESH LAMAOS Nepal Music Award 2076,3,0,3,0
NIRMALA GHISINGOS Nepal Music Award 2076,2,0,2,0
RAVI SINGOS Nepal Music Award 2076,1,500,501,2500
MINGS LAMAOS Nepal Music Award 2076,2,2800,2802,14000
SUNIL THAPA MAGAROS Nepal Music Award 2076,2,0,2,0
BIMALA THINGOS Nepal Music Award 2076,1,0,1,0
NISHU SUNUWAROS Nepal Music Award 2076,1,0,1,0
NABIN GHARTI MAGAROS Nepal Music Award 2076,3,0,3,0
SURYA KHADKAOS Nepal Music Award 2076,5,0,5,0
KIRAN GAJMEROS Nepal Music Award 2076,5,0,5,0
SRIJANA TAMANGOS Nepal Music Award 2076,3,0,3,0
MANOJ BISTAOS Nepal Music Award 2076,1,600,601,3000
JIWAN SHAHIOS Nepal Music Award 2076,6,200,206,1000
SAGAR GAUTAMOS Nepal Music Award 2076,1,0,1,0
BIJAYA THOKAROS Nepal Music Award 2076,1,0,1,0
DIPAK ACHARYAOS Nepal Music Award 2076,0,3000,3000,15000
MANOJ KARKIOS Nepal Music Award 2076,4,0,4,0
HERUKA LAMAOS Nepal Music Award 2076,4,155,159,775
DILIP SAMANOS Nepal Music Award 2076,1,500,501,2500
PUSHKAR SUNUWAROS Nepal Music Award 2076,2,700,702,3500
SITA POUDELOS Nepal Music Award 2076,5,0,5,0
RAVI OAD & PRABHISHA ADHIKARIOS Nepal Music Award 2076,1,0,1,0
PRAKASH DHITALOS Nepal Music Award 2076,3,0,3,0
SANJOK YONJANOS Nepal Music Award 2076,1,5,6,25
RAMBHAKTA JOJIJUOS Nepal Music Award 2076,1,0,1,0
GAMVIR BISTAOS Nepal Music Award 2076,2,0,2,0
GOPAL RASAILYOS Nepal Music Award 2076,2,0,2,0
ROSHAN SHRESTHAOS Nepal Music Award 2076,4,0,4,0
KALYAN SINGHOS Nepal Music Award 2076,2,0,2,0
BISHNU SHARMAOS Nepal Music Award 2076,1,0,1,0
TARANATH ACHARYAOS Nepal Music Award 2076,3,0,3,0
DINESH CHHETRI                                                              OS Nepal Music Award 2076,6,0,6,0
ROSHAN SUBEDIOS Nepal Music Award 2076,3,80,83,400
AASHIR PRATAP JUNGOS Nepal Music Award 2076,2,0,2,0
ABHISHEK TAMANGOS Nepal Music Award 2076,2,0,2,0
SHASHI KALA MOKTANOS Nepal Music Award 2076,3,0,3,0
CHRISTINA SHRESHTAOS Nepal Music Award 2076,5,0,5,0
JITU LOPCHANOS Nepal Music Award 2076,2,0,2,0
RAJKUMAR TAMANGOS Nepal Music Award 2076,1,0,1,0
BINOD DHAKALOS Nepal Music Award 2076,4,0,4,0
REKHA JOSHIOS Nepal Music Award 2076,2,0,2,0
SURYA BIRAHI SAUDOS Nepal Music Award 2076,4,0,4,0
DHARMARAJ POKHARELOS Nepal Music Award 2076,5,0,5,0
DHURBA HIMALIOS Nepal Music Award 2076,6,0,6,0
PUSKAL SHARMAOS Nepal Music Award 2076,4,0,4,0
NIRMAL CHHETRIOS Nepal Music Award 2076,4,0,4,0
SAYA BHANDARIOS Nepal Music Award 2076,1,0,1,0
RISHI KHADKAOS Nepal Music Award 2076,1,0,1,0
SHIVA HAMAL              OS Nepal Music Award 2076,6,0,6,0
DAWA LAMAOS Nepal Music Award 2076,2,0,2,0
GANESH ADHIKARI   OS Nepal Music Award 2076,1,0,1,0
SMRITY SHRESTHAOS Nepal Music Award 2076,3,0,3,0
ANJALI ADHIKARIOS Nepal Music Award 2076,1,0,1,0
ANITA CHALAUNEOS Nepal Music Award 2076,4,0,4,0
KUMAR KARKIOS Nepal Music Award 2076,2,0,2,0
BIRENDRA BHATTAOS Nepal Music Award 2076,3,0,3,0
DIPENDRA TIMALSINAOS Nepal Music Award 2076,2,0,2,0
AGNI BOMJANOS Nepal Music Award 2076,1,0,1,0
sOS Nepal Music Award 2076,3,0,3,0
DURGESH THAPAOS Nepal Music Award 2076,3,0,3,0
SANCHITA SHAHIOS Nepal Music Award 2076,4,0,4,0
PURSHOTTAM SUBEDIOS Nepal Music Award 2076,8,0,8,0
PRASAD KHAPTARI MAGAROS Nepal Music Award 2076,2,0,2,0
RAKESH RAIOS Nepal Music Award 2076,5,0,5,0
PUNYAM PRADHANOS Nepal Music Award 2076,1,0,1,0
RITA KCOS Nepal Music Award 2076,1,0,1,0
DIPAK CHAULAGAINOS Nepal Music Award 2076,9,0,9,0
TANKA SUNUWAROS Nepal Music Award 2076,4,0,4,0
KAMAL ADHIKARIOS Nepal Music Award 2076,1,0,1,0
ANISH SHRESTHAOS Nepal Music Award 2076,4,0,4,0
BISHNU KHADKAOS Nepal Music Award 2076,2,0,2,0
KARISHMA DHAKALOS Nepal Music Award 2076,1,0,1,0
RAM SILWALOS Nepal Music Award 2076,1,0,1,0
SUMAN THAPAOS Nepal Music Award 2076,3,0,3,0
TANKA TIMALSINAOS Nepal Music Award 2076,1,0,1,0
SUREN GAUTAMOS Nepal Music Award 2076,1,0,1,0
MANJITA K.COS Nepal Music Award 2076,0,50,50,250
AMRITA LUNGELI MAGAROS Nepal Music Award 2076,2,0,2,0
YUBARAJ MAGAROS Nepal Music Award 2076,2,0,2,0
SARIKA K.COS Nepal Music Award 2076,1,0,1,0
BASU BARALOS Nepal Music Award 2076,2,0,2,0
HEMANT SHISHIROS Nepal Music Award 2076,2,0,2,0
AMIT BABU ROKAYAOS Nepal Music Award 2076,3,0,3,0
MOHAN KHADKAOS Nepal Music Award 2076,1,0,1,0
TEK BCOS Nepal Music Award 2076,1,0,1,0
AANCHAL SHARMAOS Nepal Music Award 2076,2,0,2,0
DHRUBA SHARMA      OS Nepal Music Award 2076,5,255,260,1275
BIKRAM BARALOS Nepal Music Award 2076,1,0,1,0
SMITA GHIMIREOS Nepal Music Award 2076,4,0,4,0
SAMJHANA BHANDARIOS Nepal Music Award 2076,2,0,2,0
SUJATA KCOS Nepal Music Award 2076,2,0,2,0
ROSHNA LUNGBAOS Nepal Music Award 2076,1,0,1,0
BAL KUMAR SHRESHTHAOS Nepal Music Award 2076,2,0,2,0
RITU TAMANGOS Nepal Music Award 2076,1,0,1,0
MOHAN SUNUWAROS Nepal Music Award 2076,2,0,2,0
JUNU GAUTAMOS Nepal Music Award 2076,1,0,1,0
SUSHILA THAPAOS Nepal Music Award 2076,1,0,1,0
BABITA SHRESTHAOS Nepal Music Award 2076,1,0,1,0
RAJKUMAR BAGAROS Nepal Music Award 2076,1,0,1,0
SURAJ KALAKHETIOS Nepal Music Award 2076,6,0,6,0
KAMAL SINGHOS Nepal Music Award 2076,1,0,1,0
KESHAB BADUOS Nepal Music Award 2076,2,0,2,0
SURAJ SHRESHTAOS Nepal Music Award 2076,1,0,1,0
MAUSAM HIMALIOS Nepal Music Award 2076,2,0,2,0
ANJU GAUTAMOS Nepal Music Award 2076,1,0,1,0
ARJUN KUNWAROS Nepal Music Award 2076,4,0,4,0
NABINA GHISHINGOS Nepal Music Award 2076,1,0,1,0
LAXMI DONGOS Nepal Music Award 2076,1,0,1,0
PRALAD SHAHOS Nepal Music Award 2076,1,0,1,0
OM PRASIOS Nepal Music Award 2076,1,0,1,0
KABITA SIWAKOTI & TANKA BUDATHOKIOS Nepal Music Award 2076,1,0,1,0
MILAN BISTAOS Nepal Music Award 2076,8,0,8,0
RAMIT LAMAOS Nepal Music Award 2076,2,0,2,0
BENISHA POUDELOS Nepal Music Award 2076,1,50,51,250
BIKASH DHAMALAOS Nepal Music Award 2076,1,0,1,0
NIRU SHREES MAGAROS Nepal Music Award 2076,1,0,1,0
ARJUN THAPAOS Nepal Music Award 2076,1,0,1,0
MAYA PUN MAGAROS Nepal Music Award 2076,1,0,1,0
PARU RANJITOS Nepal Music Award 2076,1,0,1,0
NABIN RAWALOS Nepal Music Award 2076,1,0,1,0
BUDDHA MOKTANOS Nepal Music Award 2076,24,0,24,0
NISHA DESHAROS Nepal Music Award 2076,1,0,1,0
DURGA PAUDELOS Nepal Music Award 2076,1,0,1,0
RAMJI KHANDOS Nepal Music Award 2076,1,0,1,0
DEEPAK SHARMAOS Nepal Music Award 2076,3,50,53,250
DOLRAJ BARGHARE MAGAROS Nepal Music Award 2076,2,0,2,0
SHARMILA RAIOS Nepal Music Award 2076,1,0,1,0
BIBASH BASNETOS Nepal Music Award 2076,1,0,1,0
ASHOK KUMAR TAMANGOS Nepal Music Award 2076,1,0,1,0
SHANKHAR BCOS Nepal Music Award 2076,1,0,1,0
Manish ModiSparrow SMS Voting,0,10,10,50
Total,12596,99935,112531,499675
