Name,Free,Paid,Total,Paid(Rs.)
Aarjan KaspalLittle Champ International 2020,1,0,1,0
Aagraj KharalLittle Champ International 2020,1,0,1,0
Rikesh KhatriLittle Champ International 2020,1,0,1,0
Sameep SharmaModel Superstar,7,0,7,0
Asmita Thapa MagarModel Superstar,40,5,45,25
Pujan TamangModel Superstar,18,10,28,50
Purna Man Maharjan NEPALBHASA STAR MUSIC VIDEO AWARDS-2019,8,905,913,4525
Purna Man MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,57,940,997,4700
Supriya NagarkotiLittle Champ International 2020,1,0,1,0
Ram Krishna KhadgiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,9,5,14,25
Macha Raja MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,38,0,38,0
Strings Recording StudioNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,100,102,500
Hari Sharan SayamiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,3,100,103,500
HasanaShakyaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,4,1000,1004,5000
Sana ShakyaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,4,0,4,0
Nima Lhamu sherpaMr. & Miss Teen Sherpa 2020 - S2,49,5,54,25
Suweta ShresthaModel Superstar,18,120,138,600
Raj kumar ManandharNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,7,0,7,0
Pema Yanji sherpaMr. & Miss Teen Sherpa 2020 - S2,4478,0,4478,0
Mingma Tshering SherpaMr. & Miss Teen Sherpa 2020 - S2,263,0,263,0
Lhamu SherpaMr. & Miss Teen Sherpa 2020 - S2,65,570,635,2850
Tshering Dolkar SherpaMr. & Miss Teen Sherpa 2020 - S2,14,4010,4024,20050
Chhewang SherpaMr. & Miss Teen Sherpa 2020 - S2,17,0,17,0
Karoona ShresthaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,12,0,12,0
Tenzin Pema SherpaMr. & Miss Teen Sherpa 2020 - S2,214,5,219,25
Sunita RajbhandariNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,30,1715,1745,8575
Binu ShakyaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,4,0,4,0
Ram Bhakta MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,9,0,9,0
Krishna MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,17,0,17,0
Ratna Shova MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,10,0,10,0
Raj Kumar ManandharNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,4,4405,4409,22025
Lhakpa Sange SherpaMr. & Miss Teen Sherpa 2020 - S2,10,0,10,0
Angdali SherpaMr. & Miss Teen Sherpa 2020 - S2,243,10,253,50
Aasha NakarmiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,0,2,0
Tengin SherpaMr. & Miss Teen Sherpa 2020 - S2,8,0,8,0
Ves MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,20,0,20,0
Bhuwan ShresthaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,20,0,20,0
Ganga Devi MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,6,0,6,0
Saraswati ManandharNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,6,0,6,0
Mohan ShakyaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,5,1100,1105,5500
Mingma SherpaMr. & Miss Teen Sherpa 2020 - S2,64,0,64,0
Rajesh NakarmiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,4,0,4,0
Dr. Gopal MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,12,0,12,0
DrishnuManandharNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,5,0,5,0
Gautam TandukarNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,8,0,8,0
Lujaw SinghNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,6,0,6,0
Raju Maharjan 'Juju'NEPALBHASA STAR MUSIC VIDEO AWARDS-2019,6,0,6,0
Sarita BajracharyaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,9,0,9,0
Pemba Dorji SherpaMr. & Miss Teen Sherpa 2020 - S2,3,0,3,0
Garima MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,5,0,5,0
Hriday Prasad MishraNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,4,0,4,0
Ang Maya SherpaMr. & Miss Teen Sherpa 2020 - S2,20,0,20,0
Chhiri SherpaMr. & Miss Teen Sherpa 2020 - S2,18,25,43,125
Sonam PakhrinNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,9,0,9,0
Chandeswar MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Ashishma NakarmiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,21,0,21,0
Sonam MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,4,0,4,0
Kaljang Lhamu SherpaMr. & Miss Teen Sherpa 2020 - S2,4,0,4,0
Asmita KhadkaModel Superstar,4,0,4,0
KalpanaKapaliNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,3,0,3,0
Bhim Bahadur NakarmiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,8,0,8,0
Manisha PalModel Superstar,2,0,2,0
Elin RautModel Superstar,5,0,5,0
Pemba Chiring SherpaMr. & Miss Teen Sherpa 2020 - S2,4,0,4,0
Rajani KhadgiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,12,5,17,25
Yoban ShakyaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,14,5,19,25
Rita MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Aradhya Laxmi KhadgiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,0,2,0
Srijana MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,11,0,11,0
Anita MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,6,0,6,0
Sunil LaudreyModel Superstar,49,180,229,900
Pooja SunuwarNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,17,0,17,0
Sagar GhimireModel Superstar,71,0,71,0
Shova MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,10,0,10,0
B.K. JalmiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Dawa Tsering SherpaMr. & Miss Teen Sherpa 2020 - S2,6,0,6,0
Ramesh KapaliModel Superstar,3,0,3,0
Raju KarmacharyaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,3,0,3,0
Sarita Bajracharya NEPALBHASA STAR MUSIC VIDEO AWARDS-2019,8,0,8,0
Shailesh Shakya NEPALBHASA STAR MUSIC VIDEO AWARDS-2019,3,0,3,0
 Bhupendra BajracharyaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,5,0,5,0
Padam Jyoti Bajracharya NEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,0,2,0
Rajesh ShakyaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,6,0,6,0
Suraj ByanjankarNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,0,2,0
